Date,Open,High,Low,Close,Adj Close,Volume
4/17/2000,32.625,37,32.59375,36.3125,36.3125,13095800
4/18/2000,36.4375,39.625,35.75,39.5,39.5,16538200
4/19/2000,39.34375,39.46875,37.21875,37.625,37.625,9904200
4/20/2000,37.6875,39.46875,37.5,39.125,39.125,7509600
4/24/2000,38.625,40.8125,38.09375,40.5,40.5,12660000
4/25/2000,41,44,40.875,43.75,43.75,12718000
4/26/2000,42.59375,43.6875,40.9375,41.125,41.125,14022200
4/27/2000,40.25,43.625,40.125,42.625,42.625,14193400
4/28/2000,43,44.4375,40.8125,43.75,43.75,15888000
5/1/2000,43.5,46,43.46875,44.1875,44.1875,12111800
5/2/2000,44.0625,46.1875,43.90625,44.75,44.75,12281600
5/3/2000,44.75,45.25,42.03125,43.875,43.875,9597600
5/4/2000,44,45.5625,43,45,45,7897600
5/5/2000,45.03125,46.4375,45.03125,46,46,7915000
5/8/2000,45,45.5,44.09375,44.375,44.375,6561600
5/9/2000,44,44.75,40.6875,41.75,41.75,9492800
5/10/2000,40.25,41,38.5,39.96875,39.96875,13863200
5/11/2000,40.625,43.875,39.75,43.875,43.875,10316800
5/12/2000,43.53125,44.875,42.25,42.84375,42.84375,7459400
5/15/2000,42.625,43,41.53125,42.75,42.75,5605200
5/16/2000,43.4375,44.78125,42.875,44.25,44.25,8100400
5/17/2000,43.9375,44.59375,42.5,42.5,42.5,9305400
5/18/2000,43,43.5625,42.375,43.25,43.25,5400400
5/19/2000,42.625,42.875,41.65625,41.90625,41.90625,6507800
5/22/2000,41.53125,41.75,38.625,40.25,40.25,9016600
5/23/2000,39.875,40.4375,37.59375,37.75,37.75,12117400
5/24/2000,37,37.875,33.8125,36.34375,36.34375,19178200
5/25/2000,36,37.6875,33,35.3125,35.3125,21466400
5/26/2000,35.1875,37.5625,34.625,37,37,8143200
5/30/2000,38.9375,43,38.4375,43,43,10459200
5/31/2000,42.9375,43.125,40.53125,40.875,40.875,7844200
6/1/2000,41.4375,43.6875,41.15625,42,42,7616000
6/2/2000,45,45.4375,43.8125,45.0625,45.0625,8108000
6/5/2000,44.875,48.5,44.8125,45.5625,45.5625,14661800
6/6/2000,46.28125,47.21875,44.5,45.125,45.125,9043600
6/7/2000,44.75,44.96875,42.875,43.5,43.5,9222800
6/8/2000,45,45.25,43.125,43.5625,43.5625,8488200
6/9/2000,44.25,44.75,44.03125,44.375,44.375,5569800
6/12/2000,44.9375,45,42.625,42.75,42.75,6642200
6/13/2000,43,44.40625,42.03125,44,44,6264200
6/14/2000,43.65625,44.5,41.28125,41.875,41.875,7067600
6/15/2000,41.28125,42.25,40.15625,41.4375,41.4375,9750000
6/16/2000,41.375,42.375,40.5,41.25,41.25,5441400
6/19/2000,40.5,46.125,40.5,45.90625,45.90625,7653000
6/20/2000,45.8125,46.59375,44.6875,45.625,45.625,7149200
6/21/2000,44.9375,47.71875,44.5,47.5,47.5,7298200
6/22/2000,47,47.46875,45.5,45.625,45.625,6747200
6/23/2000,45.625,45.84375,43.25,43.875,43.875,5561400
6/26/2000,44.5,44.6875,42.625,43.625,43.625,6033600
6/27/2000,43,43.5,41.25,42.125,42.125,6810000
6/28/2000,41.6875,41.9375,39.46875,40.34375,40.34375,8925400
6/29/2000,39.5,39.5,37.46875,38.125,38.125,11918600
6/30/2000,38.3125,40.375,38.1875,38.625,38.625,10416800
7/3/2000,38.5,42.5,38,42.125,42.125,3930000
7/5/2000,37.5,38.84375,36.25,37.625,37.625,17843200
7/6/2000,37.25,38.9375,36.5,38.75,38.75,10987400
7/7/2000,38.875,41.71875,38.78125,41,41,9007000
7/10/2000,43.125,43.8125,41.875,42.5,42.5,10199800
7/11/2000,42.125,43.09375,40.78125,41.75,41.75,7623800
7/12/2000,42,42.59375,41.375,42.15625,42.15625,6527000
7/13/2000,42.96875,43.5,42.1875,42.75,42.75,6131000
7/14/2000,43.6875,45.25,43.09375,45,45,5754400
7/17/2000,44.59375,46.125,43.9375,45.625,45.625,7044400
7/18/2000,44.0625,45.625,43.1875,45.5,45.5,6729600
7/19/2000,44,47.5,43.15625,45.125,45.125,14192200
7/20/2000,44.5,44.75,41.9375,43.0625,43.0625,16273000
7/21/2000,42.46875,42.46875,40,40.0625,40.0625,9594000
7/24/2000,40.5,41.59375,38.3125,39,39,10565200
7/25/2000,39.5,40.0625,38.78125,39.375,39.375,7225400
7/26/2000,39.34375,39.34375,36.875,38.09375,38.09375,9044400
7/27/2000,36.8125,36.9375,34,35,35,17077000
7/28/2000,35.84375,37.46875,34.6875,35.5,35.5,13689800
7/31/2000,35.9375,36.875,34.75,36,36,7546000
8/1/2000,36.09375,36.1875,33.28125,33.875,33.875,9895200
8/2/2000,33.5,34.4375,30.375,31.25,31.25,20000200
8/3/2000,29.375,32.875,29.03125,32.75,32.75,20238400
8/4/2000,33,33.1875,30.28125,31.375,31.375,13104000
8/7/2000,30.25,33.1875,30.1875,32.5,32.5,15136000
8/8/2000,32.875,33.40625,30.25,30.625,30.625,12861000
8/9/2000,31.25,31.9375,29.875,30.875,30.875,11138400
8/10/2000,30.1875,30.78125,28.25,28.5,28.5,14584200
8/11/2000,27.625,29.25,27,28.875,28.875,14878200
8/14/2000,29.5625,31.625,28.625,31.5,31.5,12196200
8/15/2000,31.625,32.375,31,32,32,12354000
8/16/2000,32.3125,33.125,31.0625,32.625,32.625,11556000
8/17/2000,31.625,34.125,31.375,34.0625,34.0625,13113800
8/18/2000,35.21875,35.5,34.5,35.125,35.125,13328000
8/21/2000,35.375,35.875,33.25,34.09375,34.09375,11183800
8/22/2000,34.125,35.125,33.125,34.4375,34.4375,5475900
8/23/2000,34.625,35,33.375,34.75,34.75,4834100
8/24/2000,35.125,36,34.125,34.9375,34.9375,7984200
8/25/2000,35,35.125,33.6875,34.5,34.5,3829400
8/28/2000,34.625,35.25,33.8125,34.5,34.5,4558900
8/29/2000,34.5625,35.75,34,34.75,34.75,5512500
8/30/2000,34.5,35.375,34.0625,35,35,3804000
8/31/2000,35.25,38.25,35.0625,37.5,37.5,8755600
9/1/2000,38.125,38.25,36.625,37.5,37.5,5270600
9/5/2000,37,37,34.25,34.75,34.75,9198100
9/6/2000,34.5,34.5,32,32,32,9135200
9/7/2000,32.5,33.875,31.5,33,33,8354600
9/8/2000,33,33,31.5625,31.875,31.875,5504000
9/11/2000,31.5625,33.0625,31,32.25,32.25,4414200
9/12/2000,31.0625,32.4375,30.125,30.5,30.5,5455600
9/13/2000,28.5,29.5,28.0625,29,29,13190900
9/14/2000,29.0625,30,27.75,28.375,28.375,8138000
9/15/2000,28,28.5,27.125,27.75,27.75,7637200
9/18/2000,27.5,30,26,26.5,26.5,6981900
9/19/2000,26.25,30.5,26.25,30.375,30.375,10605700
9/20/2000,30.4375,30.75,28.3125,29.6875,29.6875,9542100
9/21/2000,28.25,28.625,23,23.9375,23.9375,8839800
9/22/2000,24.25,28,24,26.5,26.5,21627000
9/25/2000,26.75,26.875,25,25.9375,25.9375,12297300
9/26/2000,26,26,24.5,24.875,24.875,8801400
9/27/2000,25.0625,25.5,23.25,24,24,6909500
9/28/2000,24.75,25.5,23.25,23.625,23.625,6539500
9/29/2000,24.0625,25,23,24,24,7743900
10/2/2000,23.9375,24.9375,22.75,23.25,23.25,7766300
10/3/2000,24,25.4375,23.4375,23.6875,23.6875,8826500
10/4/2000,23.5,24.875,23,24.5,24.5,8668200
10/5/2000,24.4375,24.625,23.125,23.5,23.5,5810300
10/6/2000,23.8125,24.9375,21.5625,22,22,10701100
10/9/2000,22.75,22.75,21.375,22.375,22.375,7888500
10/10/2000,22.75,23.4375,21.625,22.75,22.75,9923000
10/11/2000,22.25,23.625,21.125,23.5,23.5,12706100
10/12/2000,24.25,26,21.75,22.5625,22.5625,20637600
10/13/2000,22.125,22.625,21.3125,21.875,21.875,13210000
